timestamp;ui32ArduinoTimestamp;f32Value
40912;1139626976;400.0000
69783;1139689376;-1.0000
89785;1139694156;400.0000
119879;1139735296;201.0000
144859;1139790100;-1.0000
164883;1139794892;400.0000
194810;1139857296;-1.0000
214809;1139862048;400.0000
244902;1139924492;-1.0000
264824;1139929252;400.0000
294714;1139991668;-1.0000
314831;1139996376;400.0000
344801;1140058860;-1.0000
364713;1140063620;400.0000
394766;1140126060;-1.0000
414857;1140130768;400.0000
444947;1140193264;-1.0000
464916;1140198012;400.0000
494909;1140260460;-1.0000
515246;1140265244;400.0000
544877;1140327636;-1.0000
564858;1140332344;400.0000
594760;1140394808;-1.0000
614936;1140399544;400.0000
644924;1140462004;-1.0000
664942;1140466740;400.0000
694929;1140529212;-1.0000
714821;1140534084;400.0000
744877;1140596408;-1.0000
764867;1140601156;400.0000
794896;1140663592;-1.0000
814897;1140668324;400.0000
844869;1140730760;-1.0000
869927;1140764428;-1.0000
889828;1140769140;400.0000
919814;1140831600;-1.0000
939858;1140836360;400.0000
969789;1140898768;-1.0000
989703;1140903528;400.0000
1019748;1140965972;-1.0000
1039875;1140970684;400.0000
1069896;1141033168;-1.0000
1089913;1141037972;400.0000
1119878;1141100368;-1.0000
1139897;1141105096;400.0000
1169867;1141146264;201.0000
1194875;1141201092;-1.0000
1214899;1141205884;400.0000
1244805;1141268284;-1.0000
1264819;1141273036;400.0000
1309887;1141335480;-1.0000
1329852;1141340264;400.0000
1374870;1141402656;-1.0000
1394910;1141407524;400.0000
1439840;1141469828;-1.0000
1464942;1141474724;400.0000
1509857;1141537024;-1.0000
1529846;1141541756;400.0000
1574895;1141604220;-1.0000
1594889;1141609116;400.0000
1644769;1141671424;-1.0000
1659787;1141676188;400.0000
1709867;1141738600;-1.0000
1729802;1141743332;400.0000
1774857;1141805772;-1.0000
1799862;1141810624;400.0000
1844906;1141872972;-1.0000
1864831;1141877724;400.0000
1909890;1141940176;-1.0000
1924871;1141944884;400.0000
1979901;1142007376;-1.0000
1999855;1142012228;400.0000
2044776;1142074572;-1.0000
2065065;1142079328;400.0000
2109831;1142141740;-1.0000
2134913;1142146456;400.0000
2179818;1142208916;-1.0000
2199803;1142213604;400.0000
2244876;1142276124;-1.0000
2264893;1142280916;400.0000
2314837;1142343316;-1.0000
2334836;1142348076;400.0000
2379966;1142410512;-1.0000
2399897;1142415244;400.0000
2449793;1142477680;-1.0000
2469993;1142482508;400.0000
2514789;1142544876;-1.0000
2535128;1142549592;400.0000
2579907;1142612068;-1.0000
2599768;1142616744;400.0000
2649892;1142679256;-1.0000
2669892;1142684040;400.0000
2714890;1142746448;-1.0000
2734713;1142751348;400.0000
2784838;1142813616;-1.0000
2804870;1142818384;400.0000
2854871;1142880800;-1.0000
2875045;1142885560;400.0000
2914822;1142947996;-1.0000
2934727;1142952840;400.0000
2989857;1143015196;-1.0000
3009932;1143019880;400.0000
3054849;1143082392;-1.0000
3074899;1143087152;400.0000
3124775;1143149592;-1.0000
3144891;1143154344;400.0000
3189765;1143216760;-1.0000
3209859;1143221472;400.0000
3254819;1143283956;-1.0000
3274950;1143288688;400.0000
3324862;1143351156;-1.0000
3344830;1143356044;400.0000
3390060;1143418356;-1.0000
3409939;1143423068;400.0000
3459793;1143485552;-1.0000
3479752;1143490372;400.0000
3524747;1143552720;-1.0000
3544914;1143557480;400.0000
3589890;1143619904;-1.0000
3614872;1143624800;400.0000
3659853;1143687104;-1.0000
3679757;1143691876;400.0000
3724755;1143754300;-1.0000
3744814;1143759028;400.0000
3794920;1143821496;-1.0000
3814902;1143826228;400.0000
3859805;1143888688;-1.0000
3879765;1143893404;400.0000
3924830;1143955864;-1.0000
3944798;1143960644;400.0000
3994915;1144023068;-1.0000
4014900;1144027792;400.0000
4059970;1144090260;-1.0000
4079757;1144094992;400.0000
4124744;1144157460;-1.0000
4150008;1144162212;400.0000
4194852;1144224628;-1.0000
4214897;1144229388;400.0000
4260150;1144291828;-1.0000
4279811;1144296520;400.0000
4329834;1144359024;-1.0000
4349896;1144363732;400.0000
4399876;1144426228;-1.0000
4419887;1144430956;400.0000
4459782;1144493424;-1.0000
4484761;1144498184;400.0000
4534925;1144560592;-1.0000
4555021;1144565532;400.0000
4599891;1144627800;-1.0000
4619753;1144632716;400.0000
4669957;1144694996;-1.0000
4689920;1144699704;400.0000
4729763;1144762196;-1.0000
4749832;1144766968;400.0000
4799830;1144829392;-1.0000
4819841;1144834152;400.0000
4864908;1144896592;-1.0000
4884893;1144901416;400.0000
4934693;1144963808;-1.0000
4969819;1144997476;-1.0000
4989951;1145002168;400.0000
5034835;1145064652;-1.0000
5054922;1145069360;400.0000
5104905;1145131820;-1.0000
5124752;1145136648;400.0000
5169916;1145199016;-1.0000
5190027;1145203888;400.0000
5234890;1145266220;-1.0000
5254862;1145270920;400.0000
5304875;1145333436;-1.0000
5324767;1145338128;400.0000
5369903;1145400612;-1.0000
5390001;1145405436;400.0000
5434869;1145467784;-1.0000
5460019;1145472564;400.0000
5504862;1145534980;-1.0000
5539826;1145568648;-1.0000
5559969;1145573388;400.0000
5609814;1145635828;-1.0000
5629927;1145640568;400.0000
5675023;1145703060;-1.0000
5694911;1145707788;400.0000
5744910;1145770256;-1.0000
5764723;1145775336;400.0000
5809810;1145837472;-1.0000
5829871;1145842256;400.0000
5874908;1145904648;-1.0000
5894894;1145909496;400.0000
5944824;1145971820;-1.0000
5964714;1145976712;400.0000
6009947;1146039012;-1.0000
6034916;1146043796;400.0000
6079711;1146106216;-1.0000
6099793;1146110944;400.0000
6144862;1146173412;-1.0000
6164770;1146178196;400.0000
6214898;1146240588;-1.0000
6234715;1146245416;400.0000
6279810;1146307760;-1.0000
6299896;1146312452;400.0000
6344817;1146374956;-1.0000
6370043;1146379692;400.0000
6414895;1146442164;-1.0000
6435020;1146447008;400.0000
6479816;1146509344;-1.0000
6499753;1146514100;400.0000
6539835;1146555328;203.0000
6584907;1146610076;-1.0000
6604862;1146614828;400.0000
6649780;1146677252;-1.0000
6669810;1146681976;400.0000
6719879;1146744468;-1.0000
6739888;1146749180;400.0000
6785003;1146811640;-1.0000
6799907;1146816448;400.0000
6849762;1146878836;-1.0000
6874863;1146883664;400.0000
6919798;1146946044;-1.0000
6939906;1146950884;400.0000
6984990;1147013240;-1.0000
7004887;1147018064;400.0000
7054853;1147080436;-1.0000
7074823;1147085196;400.0000
7114759;1147147632;-1.0000
7139859;1147152296;400.0000
7184978;1147214804;-1.0000
7204869;1147219500;400.0000
7249833;1147282036;-1.0000
7269932;1147286788;400.0000
7319851;1147349232;-1.0000
7339885;1147353932;400.0000
7384884;1147416424;-1.0000
7404823;1147421184;400.0000
7454881;1147483600;-1.0000
7475006;1147488336;400.0000
7519949;1147550772;-1.0000
7539970;1147555480;400.0000
7590026;1147617976;-1.0000
7609895;1147622688;400.0000
7654961;1147685180;-1.0000
7674963;1147689880;400.0000
7719980;1147752372;-1.0000
